Country,Speed.Number,first_date,order,total_deaths,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pop_men,pop_women,prop_men,pm2.5,UHC_index_2017
Liberia,0.5,3/16/20,55,0,0.06314918,0.04041069,0.028990573,0.024872591,0.008556061,0.008416198,0.332227852,0.004385876,698.7017644,2373164.305,2349473.91,0.502508174,17.2,39
Lithuania,3.608695652,2/28/20,38,1,0.058497595,0.039935066,0.037119193,0.018859887,0.000611896,0.000619957,0.121643781,0.000603173,16840.93857,1311086.514,1536560.785,0.460410429,11.5,73
Luxembourg,30.45454545,2/29/20,39,8,0.095027011,0.051145176,0.044499967,0.022416505,0.00120812,0.000728792,0.07085335,0.000120375,107361.3069,296679.9625,293866.6517,0.502381955,10.2,83
Macedonia,3.4,2/26/20,36,0,0.075721124,0.054729281,0.049106083,0.025937676,5.07E-05,4.15E-05,0.133251158,0.000353841,5417.642019,1095820.186,1079008.121,0.503865148,28.3,72
Madagascar,1.5,3/20/20,59,0,0.05652013,0.044533852,0.028084482,0.032674126,0.001715239,0.002294723,0.369527046,0.004522165,515.292739,13071941.53,13036843.03,0.500672159,21.4,28
Malaysia,20.75438596,1/25/20,4,4,0.078527405,0.070116638,0.025679313,0.031681579,0.001672365,0.001783384,0.202520322,0.003246086,10254.23402,15839528.03,14800299.72,0.516958782,16,73
Maldives,0.928571429,3/8/20,47,0,0.073495669,0.061657755,0.027636062,0.035189984,3.18E-05,5.95E-05,0.18880304,0.002690272,9540.634349,270105.9165,188494.9585,0.588978197,7.6,62
Malta,4.866666667,3/7/20,46,0,0.114055686,0.065958205,0.035088461,0.01864268,0.000833166,0.000553025,0.080031331,0.000133649,27283.54473,217237.9482,217234.3934,0.500004091,14,82
Mauritania,0.25,3/14/20,53,0,0.063673221,0.04935231,0.028718636,0.029921085,0.000362841,0.000545616,0.282749129,0.002530135,1145.547947,1923810.385,1990111.167,0.491530134,40.8,41
Mauritius,3.5,3/18/20,57,1,0.149366919,0.109546445,0.024536642,0.026554237,0.003074088,0.002534557,0.194691658,0.001421513,10484.90836,628020.706,644091.2862,0.493683504,13.5,63
Mexico,8.826086957,2/28/20,38,2,0.112890927,0.100840528,0.035176727,0.026401827,0.001973819,0.00203389,0.247736952,0.000209851,9278.418168,61950268.66,64619451.28,0.489455682,20.1,76
Moldova,5.714285714,3/8/20,47,1,0.063838865,0.045037749,0.033815391,0.017879589,0.002140154,0.001603926,0.154830297,0.00090808,2724.493093,1773248.012,1948572.478,0.47644641,16,69
Mongolia,0.833333333,3/10/20,49,0,0.056476716,0.041818832,0.041685648,0.022689361,0.000167933,0.000199244,0.205282049,0.001765956,3669.41754,1607759.917,1643665.616,0.494478468,40.4,62
Montenegro,2.8,3/17/20,56,0,0.07668476,0.054792941,0.044497099,0.023284767,0.000135226,0.000107553,0.118907292,0.000295517,7784.06529,309842.9771,316474.9631,0.494705576,20.2,68
Morocco,4.8,3/2/20,41,3,0.088582522,0.053620781,0.042025301,0.031094568,0.000429006,0.000419415,0.193713812,0.00127254,3036.171062,17823090.29,17665825.2,0.502215693,31,70
Namibia,0.375,3/14/20,53,0,0.089057682,0.065689481,0.052872292,0.060616477,0.107699386,0.078577179,0.316414262,0.005602144,5646.456008,1138539.664,1214962.911,0.483763934,22.6,62
Nepal,0.01754386,1/25/20,4,0,0.053405964,0.036044624,0.053841407,0.060512509,0.001470802,0.001781109,0.240102656,0.005556618,911.4442665,14295698.09,15595825.8,0.478252569,94.3,48
Netherlands,151.6666667,2/27/20,37,137,0.082721424,0.045896513,0.038561911,0.023778949,0.001070924,0.000692574,0.071391291,0.00010964,48554.99228,8444847.909,8584249.647,0.495906955,12.1,86
New Zealand,2.260869565,2/28/20,38,0,0.044239627,0.025639203,0.035371907,0.018517545,0.000966086,0.000535202,0.10329496,0.000146606,42260.12518,2164564.24,2283810.834,0.486596612,5.7,87
Nicaragua,0.666666667,3/19/20,58,0,0.066530576,0.058878162,0.032588638,0.024371341,0.002636704,0.002790345,0.249213442,0.000416643,2168.195206,3160399.445,3236170.459,0.494077215,16.9,73
Niger,0.5,3/20/20,59,0,0.054255479,0.0424563,0.034944461,0.036733721,0.003150548,0.003659927,0.357912991,0.004021537,375.8694897,10615605.01,10760340.82,0.496614517,70.8,37
Nigeria,0.956521739,2/28/20,38,0,0.040217619,0.028991977,0.032326751,0.031530695,0.022205046,0.024185991,0.275021479,0.005049111,1968.559588,99635859.91,106452086.9,0.48346282,48.7,42
