Country,Speed.Number,first_date,order,total_deaths,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pop_men,pop_women,prop_men,pm2.5,UHC_index_2017
Switzerland,252.8846154,2/25/20,35,75,0.072616659,0.04117756,0.038096507,0.019796882,0.001982559,0.001215374,0.072114425,0.000129909,80450.04582,4274911.345,4318175.891,0.497482596,10.2,83
Tanzania,1,3/16/20,55,0,0.049655799,0.040628532,0.020967791,0.025460951,0.033789694,0.027851299,0.28883142,0.00523322,1004.841121,26258870.84,27714265,0.486517421,25.6,43
Thailand,6.85,1/22/20,1,1,0.059180768,0.049504829,0.017791173,0.022905827,0.006622296,0.007607439,0.191727682,0.003037621,6578.188865,34524231.79,36101830.82,0.488831325,26.2,80
The Bahamas,0.666666667,3/16/20,55,0,0.080763567,0.07213543,0.023264917,0.015074767,0.011347416,0.01005621,0.205801561,0.000238201,30762.01,181820.4649,193620.0629,0.484285663,17.6,75
The Gambia,0.2,3/17/20,56,0,0.058075112,0.042175003,0.032757795,0.032065987,0.012535986,0.013115975,0.418772869,0.00747396,483.02,1048565.98,1083943.562,0.491705176,32.2,44
Timor-Leste,1,3/21/20,60,0,0.082948623,0.058561274,0.037162503,0.038976771,0.002307874,0.003704866,0.32091685,0.007626823,2000.601161,652365.0045,635121.3693,0.506696628,17.9,52
Togo,1,3/6/20,45,0,0.052801518,0.040468184,0.031483367,0.032653287,0.017231355,0.015673929,0.330839638,0.004668267,624.5449459,3681082.992,3834947.262,0.48976426,32.7,43
Trinidad and Tobago,6.125,3/14/20,53,0,0.122600433,0.10373595,0.023904019,0.014503591,0.006369734,0.0057763,0.21673023,0.000182096,16238.19319,698232.6375,693572.1902,0.501674246,22,74
Tunisia,3.333333333,3/4/20,43,1,0.074203923,0.049137555,0.035022585,0.027813938,0.000320237,0.000373077,0.155041819,0.00034314,3482.186729,5701459.528,5740723.71,0.498284236,35.7,70
Turkey,60.90909091,3/11/20,50,9,0.064164803,0.051416755,0.058726796,0.0421663,6.10E-05,6.69E-05,0.120107688,0.000339017,10513.64842,40264701.12,40192149.79,0.500450871,42,74
Uganda,1,3/21/20,60,0,0.056420273,0.043310746,0.022691207,0.026038768,0.051189771,0.038950176,0.427024088,0.005255532,631.5227198,19220607.42,19857774.09,0.491847581,48.4,45
Ukraine,2.473684211,3/3/20,42,3,0.056094356,0.038409192,0.040839179,0.021806133,0.003847838,0.002970295,0.144830094,0.000803627,2640.675677,20576253.32,24112830.5,0.460431308,18.3,68
United Arab Emirates,2.886792453,1/29/20,8,2,0.115095983,0.06522606,0.045860265,0.033984211,0.000647887,0.000912055,0.194144293,0.000269927,39811.6347,7131870.189,2602230.036,0.732668662,39.4,76
United Kingdom,99.35294118,1/31/20,10,234,0.06653151,0.034141373,0.054326458,0.0272219,0.001295158,0.000793141,0.084467356,0.000171559,40361.41738,32938983.47,33696532.01,0.49431573,10.5,87
United States,424.8166667,1/22/20,1,307,0.069095661,0.043102821,0.044245417,0.035421668,0.004085373,0.002477141,0.06147617,5.98E-05,59927.92983,159911921,164927103,0.492280512,7.4,84
Uruguay,13.75,3/14/20,53,0,0.079417406,0.053948439,0.039234247,0.02165868,0.003592015,0.003293354,0.144262635,0.000273113,16437.24487,1641719.685,1779811.821,0.479820128,8.6,80
Uzbekistan,6.142857143,3/15/20,54,0,0.09003827,0.06865084,0.032857806,0.018321346,0.000558049,0.000418557,0.167581874,0.001085121,1826.566919,16042622.08,16194273.07,0.497647866,25.3,73
Venezuela,8.75,3/14/20,53,0,0.064752974,0.059293845,0.039509123,0.030302491,0.003269086,0.003096062,0.217852217,0.000305132,15692.41,15367280.1,15464460.93,0.498424013,15.8,74
Vietnam,1.593220339,1/23/20,2,0,0.0732934,0.062616413,0.034561215,0.033408903,0.002842864,0.003757147,0.396342435,0.006544933,2365.621666,47625672.16,48515060.01,0.495374552,29.7,75
Zambia,0.5,3/18/20,57,0,0.061951725,0.048508017,0.023910362,0.027700757,0.09702224,0.072738095,0.318848945,0.00572636,1534.865371,8589233.816,8774854.143,0.494655051,24.7,53
Zimbabwe,1.5,3/20/20,59,0,0.09414739,0.069070655,0.055658947,0.064222633,0.117721893,0.07826168,0.288158558,0.004786903,1602.403507,7077355.795,7636398.548,0.481002716,19.4,54
